year,month,zone_id,zone_name,rainfall_mm,temperature_c,water_quality_index,sanitation_index,cases,prev_month_cases
2024,3,1,Thiruvottiyur,43.62,25.73,60.84,65,138,203.0
2024,4,1,Thiruvottiyur,28.28,39.73,49.06,65,183,138.0
2024,5,1,Thiruvottiyur,0.91,34.92,64.06,65,133,183.0
2024,6,1,Thiruvottiyur,12.21,36.86,55.78,65,150,133.0
2024,7,1,Thiruvottiyur,46.4,27.63,67.34,65,87,150.0
2024,8,1,Thiruvottiyur,17.49,29.67,63.68,65,82,87.0
2024,9,1,Thiruvottiyur,306.08,26.47,34.99,65,186,82.0
2024,10,1,Thiruvottiyur,131.79,25.56,49.73,65,181,186.0
2024,11,1,Thiruvottiyur,132.08,27.52,53.76,65,161,181.0
2024,12,1,Thiruvottiyur,159.68,29.68,44.22,65,186,161.0
2015,1,2,Manali,39.26,25.6,60.14,60,195,251.0
2015,2,2,Manali,20.52,30.04,57.29,60,210,195.0
2015,3,2,Manali,33.0,30.54,60.55,60,218,210.0
2015,4,2,Manali,23.95,38.55,48.15,60,416,218.0
2015,5,2,Manali,19.27,34.19,57.89,60,379,416.0
2015,6,2,Manali,4.29,39.33,45.36,60,468,379.0
2015,7,2,Manali,19.04,31.76,63.42,60,317,468.0
2015,8,2,Manali,8.45,26.23,56.77,60,263,317.0
2015,9,2,Manali,359.65,29.09,21.61,60,559,263.0
2015,10,2,Manali,141.78,28.97,47.02,60,477,559.0
2015,11,2,Manali,580.98,25.7,10.0,60,776,477.0
2015,12,2,Manali,503.16,25.7,13.03,60,836,776.0
2016,1,2,Manali,46.22,31.77,64.44,60,378,836.0
2016,2,2,Manali,7.69,30.53,57.24,60,211,378.0
2016,3,2,Manali,5.13,31.5,61.88,60,117,211.0
2016,4,2,Manali,13.66,34.08,53.02,60,143,117.0
2016,5,2,Manali,29.63,34.28,60.47,60,126,143.0
2016,6,2,Manali,28.55,38.47,49.99,60,177,126.0
2016,7,2,Manali,47.78,24.15,56.96,60,161,177.0
2016,8,2,Manali,28.92,26.19,55.79,60,122,161.0
2016,9,2,Manali,337.01,26.52,22.11,60,256,122.0
2016,10,2,Manali,264.39,27.27,37.0,60,230,256.0
2016,11,2,Manali,378.43,26.12,20.88,60,305,230.0
2016,12,2,Manali,100.97,28.1,48.46,60,242,305.0
2017,1,2,Manali,14.11,26.09,57.47,60,185,242.0
2017,2,2,Manali,49.25,30.18,55.27,60,128,185.0
2017,3,2,Manali,17.4,27.6,62.49,60,104,128.0
2017,4,2,Manali,1.91,39.82,43.94,60,183,104.0
2017,5,2,Manali,9.28,39.77,47.63,60,230,183.0
2017,6,2,Manali,10.22,34.5,55.34,60,173,230.0
2017,7,2,Manali,43.85,31.55,56.49,60,144,173.0
2017,8,2,Manali,2.51,24.58,59.03,60,113,144.0
2017,9,2,Manali,131.61,28.91,48.28,60,121,113.0
2017,10,2,Manali,334.11,27.29,25.57,60,232,121.0
2017,11,2,Manali,292.18,28.33,27.41,60,282,232.0
2017,12,2,Manali,199.66,28.47,42.75,60,246,282.0
2018,1,2,Manali,36.35,28.5,64.47,60,141,246.0
2018,2,2,Manali,20.18,29.9,62.05,60,106,141.0
2018,3,2,Manali,33.64,24.65,64.51,60,95,106.0
2018,4,2,Manali,25.14,40.01,44.96,60,197,95.0
2018,5,2,Manali,11.63,39.62,47.46,60,211,197.0
2018,6,2,Manali,7.92,40.57,42.43,60,254,211.0
2018,7,2,Manali,29.66,24.43,59.55,60,171,254.0
2018,8,2,Manali,17.77,29.39,55.63,60,135,171.0
2018,9,2,Manali,212.36,28.99,37.44,60,182,135.0
2018,10,2,Manali,105.75,29.13,49.67,60,186,182.0
2018,11,2,Manali,247.85,26.5,36.18,60,228,186.0
2018,12,2,Manali,296.92,29.86,30.93,60,280,228.0
2019,1,2,Manali,13.3,31.92,55.26,60,208,280.0
2019,2,2,Manali,28.6,30.44,62.6,60,124,208.0
2019,3,2,Manali,30.3,30.8,55.45,60,146,124.0
2019,4,2,Manali,5.31,40.91,39.66,60,271,146.0
2019,5,2,Manali,28.04,35.76,49.31,60,246,271.0
2019,6,2,Manali,8.41,34.93,54.59,60,208,246.0
2019,7,2,Manali,27.74,24.61,55.04,60,177,208.0
2019,8,2,Manali,36.75,28.88,59.88,60,122,177.0
2019,9,2,Manali,162.91,29.88,45.17,60,205,122.0
2019,10,2,Manali,156.76,28.6,44.44,60,220,205.0
2019,11,2,Manali,133.18,25.18,51.63,60,179,220.0
2019,12,2,Manali,185.26,26.44,40.25,60,219,179.0
2020,1,2,Manali,4.49,31.29,55.06,60,190,219.0
2020,2,2,Manali,22.34,24.99,57.06,60,171,190.0
2020,3,2,Manali,21.89,26.21,60.58,60,135,171.0
2020,4,2,Manali,3.78,38.07,49.98,60,208,135.0
2020,5,2,Manali,5.04,36.48,50.29,60,201,208.0
2020,6,2,Manali,11.68,40.21,45.91,60,266,201.0
2020,7,2,Manali,28.56,30.91,56.39,60,204,266.0
2020,8,2,Manali,42.92,30.76,58.6,60,172,204.0
2020,9,2,Manali,287.82,25.38,27.34,60,266,172.0
2020,10,2,Manali,353.12,27.19,23.11,60,367,266.0
2020,11,2,Manali,374.59,26.33,26.5,60,359,367.0
2020,12,2,Manali,132.24,25.08,50.87,60,252,359.0
2021,1,2,Manali,11.65,30.51,60.88,60,157,252.0
2021,2,2,Manali,16.93,24.06,61.8,60,138,157.0
2021,3,2,Manali,13.13,31.0,56.29,60,155,138.0
2021,4,2,Manali,3.8,35.25,54.31,60,155,155.0
2021,5,2,Manali,24.08,39.52,41.68,60,250,155.0
2021,6,2,Manali,4.7,40.82,43.87,60,275,250.0
2021,7,2,Manali,14.31,25.98,61.45,60,180,275.0
2021,8,2,Manali,21.8,25.26,64.48,60,131,180.0
2021,9,2,Manali,102.99,25.42,52.78,60,174,131.0
2021,10,2,Manali,241.21,25.25,32.79,60,286,174.0
2021,11,2,Manali,232.56,26.73,39.21,60,310,286.0
2021,12,2,Manali,383.13,25.02,19.07,60,430,310.0
2022,1,2,Manali,48.76,31.73,57.15,60,266,430.0
2022,2,2,Manali,9.98,24.3,61.43,60,153,266.0
2022,3,2,Manali,9.71,28.29,64.35,60,99,153.0
2022,4,2,Manali,7.41,40.3,45.87,60,231,99.0
2022,5,2,Manali,20.07,34.88,59.75,60,149,231.0
2022,6,2,Manali,21.44,40.56,45.21,60,258,149.0
2022,7,2,Manali,18.21,29.12,56.29,60,178,258.0
2022,8,2,Manali,4.46,27.45,56.75,60,153,178.0
2022,9,2,Manali,167.56,26.29,43.04,60,188,153.0
2022,10,2,Manali,310.39,28.95,27.47,60,267,188.0
2022,11,2,Manali,147.17,28.45,45.42,60,236,267.0
2022,12,2,Manali,183.18,29.98,44.19,60,228,236.0
2023,1,2,Manali,17.05,30.43,63.97,60,193,228.0
2023,2,2,Manali,21.06,27.28,57.31,60,217,193.0
2023,3,2,Manali,17.97,27.8,58.64,60,240,217.0
2023,4,2,Manali,6.64,38.74,48.37,60,404,240.0
2023,5,2,Manali,15.97,40.34,37.49,60,591,404.0
2023,6,2,Manali,8.95,38.47,44.21,60,572,591.0
2023,7,2,Manali,45.66,30.38,64.21,60,398,572.0
2023,8,2,Manali,21.59,30.29,59.62,60,334,398.0
2023,9,2,Manali,205.08,27.26,35.83,60,491,334.0
2023,10,2,Manali,381.57,25.93,26.62,60,604,491.0
2023,11,2,Manali,671.04,25.86,10.0,60,769,604.0
2023,12,2,Manali,500.89,29.05,14.38,60,816,769.0
2024,1,2,Manali,16.38,25.68,59.92,60,389,816.0
2024,2,2,Manali,25.15,28.67,64.2,60,167,389.0
2024,3,2,Manali,41.46,27.55,60.71,60,125,167.0
2024,4,2,Manali,10.21,37.34,47.12,60,191,125.0
2024,5,2,Manali,15.51,36.59,53.43,60,195,191.0
2024,6,2,Manali,4.04,37.47,45.51,60,207,195.0
2024,7,2,Manali,5.03,27.97,61.9,60,130,207.0
2024,8,2,Manali,40.25,26.96,61.49,60,114,130.0
2024,9,2,Manali,222.15,26.16,38.13,60,181,114.0
2024,10,2,Manali,369.78,28.12,18.08,60,285,181.0
2024,11,2,Manali,121.68,28.45,48.17,60,217,285.0
2024,12,2,Manali,245.08,27.51,33.71,60,233,217.0
2015,1,3,Madhavaram,30.38,25.36,65.65,70,169,166.0
2015,2,3,Madhavaram,8.06,31.44,73.08,70,89,169.0
2015,3,3,Madhavaram,4.66,31.18,74.0,70,48,89.0
2015,4,3,Madhavaram,10.14,36.63,56.87,70,222,48.0
2015,5,3,Madhavaram,11.65,38.5,55.82,70,313,222.0
2015,6,3,Madhavaram,21.03,34.51,69.45,70,191,313.0
2015,7,3,Madhavaram,20.74,26.19,65.56,70,177,191.0
2015,8,3,Madhavaram,23.04,25.65,68.64,70,128,177.0
2015,9,3,Madhavaram,378.81,27.78,32.83,70,417,128.0
2015,10,3,Madhavaram,336.58,25.76,34.46,70,514,417.0
2015,11,3,Madhavaram,544.96,27.9,16.83,70,697,514.0
2015,12,3,Madhavaram,765.72,25.59,10.0,70,844,697.0
2016,1,3,Madhavaram,42.23,26.55,73.29,70,329,844.0
2016,2,3,Madhavaram,29.65,28.64,65.91,70,185,329.0
2016,3,3,Madhavaram,35.41,24.54,70.82,70,86,185.0
2016,4,3,Madhavaram,18.0,36.04,64.35,70,97,86.0
2016,5,3,Madhavaram,21.76,37.41,62.72,70,115,97.0
2016,6,3,Madhavaram,14.67,38.67,52.23,70,171,115.0
2016,7,3,Madhavaram,46.35,24.48,74.34,70,67,171.0
2016,8,3,Madhavaram,9.59,26.59,67.27,70,54,67.0
2016,9,3,Madhavaram,308.49,26.73,43.91,70,151,54.0
2016,10,3,Madhavaram,145.01,26.62,57.87,70,128,151.0
2016,11,3,Madhavaram,283.88,29.72,39.02,70,176,128.0
2016,12,3,Madhavaram,276.46,27.4,43.78,70,168,176.0
2017,1,3,Madhavaram,13.6,30.08,69.5,70,97,168.0
2017,2,3,Madhavaram,45.46,28.31,69.98,70,47,97.0
2017,3,3,Madhavaram,17.62,30.73,69.71,70,31,47.0
2017,4,3,Madhavaram,27.29,38.68,59.08,70,106,31.0
2017,5,3,Madhavaram,19.09,34.36,64.18,70,71,106.0
2017,6,3,Madhavaram,18.17,36.55,58.3,70,114,71.0
2017,7,3,Madhavaram,24.17,30.91,70.89,70,59,114.0
2017,8,3,Madhavaram,14.05,30.43,74.29,70,25,59.0
2017,9,3,Madhavaram,387.04,27.5,30.62,70,182,25.0
2017,10,3,Madhavaram,168.47,26.23,52.99,70,168,182.0
2017,11,3,Madhavaram,249.67,25.06,40.12,70,197,168.0
2017,12,3,Madhavaram,362.76,27.7,31.55,70,245,197.0
2018,1,3,Madhavaram,8.15,30.29,72.34,70,105,245.0
2018,2,3,Madhavaram,19.88,26.11,67.05,70,74,105.0
2018,3,3,Madhavaram,41.15,31.46,70.44,70,42,74.0
2018,4,3,Madhavaram,4.81,38.72,52.5,70,141,42.0
2018,5,3,Madhavaram,26.32,36.73,61.1,70,158,141.0
2018,6,3,Madhavaram,5.73,38.86,52.53,70,184,158.0
2018,7,3,Madhavaram,18.66,31.53,66.67,70,109,184.0
2018,8,3,Madhavaram,7.35,26.74,73.65,70,41,109.0
2018,9,3,Madhavaram,353.54,28.98,31.4,70,200,41.0
2018,10,3,Madhavaram,203.53,25.15,54.26,70,170,200.0
2018,11,3,Madhavaram,134.97,27.73,60.53,70,121,170.0
2018,12,3,Madhavaram,225.3,25.58,48.6,70,180,121.0
2019,1,3,Madhavaram,34.4,24.96,74.39,70,66,180.0
2019,2,3,Madhavaram,13.41,26.89,69.08,70,56,66.0
2019,3,3,Madhavaram,23.93,31.43,68.32,70,52,56.0
2019,4,3,Madhavaram,29.87,38.08,60.43,70,97,52.0
2019,5,3,Madhavaram,11.34,34.43,64.81,70,90,97.0
2019,6,3,Madhavaram,1.64,38.2,61.03,70,110,90.0
2019,7,3,Madhavaram,20.54,27.92,69.15,70,61,110.0
2019,8,3,Madhavaram,20.95,28.79,70.14,70,41,61.0
2019,9,3,Madhavaram,334.57,28.83,38.46,70,159,41.0
2019,10,3,Madhavaram,348.61,29.15,37.23,70,207,159.0
2019,11,3,Madhavaram,156.96,25.19,53.22,70,191,207.0
2019,12,3,Madhavaram,147.96,28.46,51.88,70,170,191.0
2020,1,3,Madhavaram,15.38,31.41,66.62,70,142,170.0
2020,2,3,Madhavaram,27.53,25.23,72.28,70,73,142.0
2020,3,3,Madhavaram,46.13,28.02,68.28,70,68,73.0
2020,4,3,Madhavaram,19.46,40.29,53.0,70,157,68.0
2020,5,3,Madhavaram,26.53,35.06,65.82,70,121,157.0
2020,6,3,Madhavaram,27.81,40.73,50.75,70,210,121.0
2020,7,3,Madhavaram,29.16,29.74,68.72,70,98,210.0
2020,8,3,Madhavaram,3.05,29.61,65.1,70,86,98.0
2020,9,3,Madhavaram,140.7,26.3,54.78,70,159,86.0
2020,10,3,Madhavaram,326.99,27.91,34.17,70,250,159.0
2020,11,3,Madhavaram,372.1,25.84,37.47,70,284,250.0
2020,12,3,Madhavaram,399.81,26.06,27.67,70,380,284.0
2021,1,3,Madhavaram,31.4,30.64,69.16,70,170,380.0
2021,2,3,Madhavaram,7.98,30.32,71.16,70,81,170.0
2021,3,3,Madhavaram,31.16,26.85,72.89,70,37,81.0
2021,4,3,Madhavaram,28.31,40.84,49.17,70,206,37.0
2021,5,3,Madhavaram,20.92,38.5,59.08,70,206,206.0
2021,6,3,Madhavaram,19.15,36.45,65.66,70,114,206.0
2021,7,3,Madhavaram,20.89,24.58,67.74,70,86,114.0
2021,8,3,Madhavaram,29.54,29.77,74.41,70,46,86.0
2021,9,3,Madhavaram,115.7,28.91,61.89,70,89,46.0
2021,10,3,Madhavaram,190.5,26.92,54.49,70,142,89.0
2021,11,3,Madhavaram,199.6,28.72,46.56,70,174,142.0
2021,12,3,Madhavaram,133.97,27.85,60.22,70,146,174.0
2022,1,3,Madhavaram,10.68,29.41,69.05,70,100,146.0
2022,2,3,Madhavaram,11.55,30.42,73.51,70,46,100.0
2022,3,3,Madhavaram,23.54,25.26,65.31,70,75,46.0
2022,4,3,Madhavaram,20.31,39.45,50.19,70,168,75.0
2022,5,3,Madhavaram,7.94,40.54,53.36,70,199,168.0
2022,6,3,Madhavaram,3.95,36.12,66.16,70,121,199.0
2022,7,3,Madhavaram,44.39,24.32,74.14,70,60,121.0
2022,8,3,Madhavaram,4.74,31.81,67.86,70,54,60.0
2022,9,3,Madhavaram,210.49,26.87,47.79,70,147,54.0
2022,10,3,Madhavaram,157.56,25.31,55.15,70,132,147.0
2022,11,3,Madhavaram,232.13,29.51,49.29,70,158,132.0
2022,12,3,Madhavaram,114.75,25.16,59.07,70,138,158.0
2023,1,3,Madhavaram,1.54,31.03,65.13,70,173,138.0
2023,2,3,Madhavaram,2.77,25.59,65.09,70,163,173.0
2023,3,3,Madhavaram,8.2,27.05,66.41,70,147,163.0
2023,4,3,Madhavaram,13.69,40.26,51.83,70,360,147.0
2023,5,3,Madhavaram,17.54,39.71,58.1,70,339,360.0
2023,6,3,Madhavaram,1.21,34.66,60.91,70,262,339.0
2023,7,3,Madhavaram,31.14,27.3,73.6,70,121,262.0
2023,8,3,Madhavaram,23.13,30.28,73.22,70,66,121.0
2023,9,3,Madhavaram,144.96,27.86,53.04,70,211,66.0
2023,10,3,Madhavaram,227.35,26.55,45.07,70,367,211.0
2023,11,3,Madhavaram,754.01,26.11,10.0,70,729,367.0
2023,12,3,Madhavaram,424.03,26.63,24.03,70,767,729.0
2024,1,3,Madhavaram,8.22,30.43,72.92,70,292,767.0
2024,2,3,Madhavaram,42.68,25.94,73.76,70,143,292.0
2024,3,3,Madhavaram,30.76,30.62,66.58,70,95,143.0
2024,4,3,Madhavaram,29.33,34.76,69.93,70,75,95.0
2024,5,3,Madhavaram,21.68,35.43,62.3,70,90,75.0
2024,6,3,Madhavaram,18.15,38.62,54.98,70,159,90.0
2024,7,3,Madhavaram,34.93,29.63,69.93,70,99,159.0
2024,8,3,Madhavaram,44.23,28.93,69.29,70,69,99.0
2024,9,3,Madhavaram,147.21,28.35,57.82,70,83,69.0
2024,10,3,Madhavaram,209.0,27.51,44.53,70,151,83.0
2024,11,3,Madhavaram,286.25,29.45,41.34,70,211,151.0
2024,12,3,Madhavaram,301.68,28.91,40.14,70,229,211.0
2015,1,4,Tondiarpet,4.88,29.47,54.4,55,253,290.0
2015,2,4,Tondiarpet,40.18,25.49,58.93,55,248,253.0
2015,3,4,Tondiarpet,17.46,29.81,58.97,55,266,248.0
2015,4,4,Tondiarpet,13.97,37.8,40.87,55,499,266.0
2015,5,4,Tondiarpet,11.58,40.73,39.73,55,606,499.0
2015,6,4,Tondiarpet,2.55,40.91,33.98,55,736,606.0
2015,7,4,Tondiarpet,49.99,31.97,55.55,55,507,736.0
2015,8,4,Tondiarpet,1.97,30.4,56.28,55,341,507.0
2015,9,4,Tondiarpet,156.11,26.62,38.64,55,464,341.0
2015,10,4,Tondiarpet,110.06,27.85,46.62,55,469,464.0
2015,11,4,Tondiarpet,798.75,27.51,10.0,55,720,469.0
2015,12,4,Tondiarpet,731.9,26.03,10.0,55,836,720.0
2016,1,4,Tondiarpet,3.85,29.57,53.4,55,435,836.0
2016,2,4,Tondiarpet,6.48,31.11,59.56,55,257,435.0
2016,3,4,Tondiarpet,2.29,30.97,59.73,55,149,257.0
2016,4,4,Tondiarpet,1.19,37.36,40.14,55,215,149.0
2016,5,4,Tondiarpet,8.3,38.15,46.26,55,218,215.0
2016,6,4,Tondiarpet,20.2,40.79,31.47,55,333,218.0
2016,7,4,Tondiarpet,24.29,26.05,52.85,55,213,333.0
2016,8,4,Tondiarpet,25.95,24.54,58.0,55,143,213.0
2016,9,4,Tondiarpet,139.76,29.31,45.25,55,176,143.0
2016,10,4,Tondiarpet,218.34,27.3,36.02,55,248,176.0
2016,11,4,Tondiarpet,366.08,28.23,16.25,55,353,248.0
2016,12,4,Tondiarpet,268.45,27.8,29.19,55,334,353.0
2017,1,4,Tondiarpet,24.38,24.27,50.63,55,253,334.0
2017,2,4,Tondiarpet,41.11,27.04,57.76,55,205,253.0
2017,3,4,Tondiarpet,16.26,29.49,50.7,55,163,205.0
2017,4,4,Tondiarpet,15.52,37.01,43.14,55,216,163.0
2017,5,4,Tondiarpet,20.6,34.8,49.33,55,201,216.0
2017,6,4,Tondiarpet,14.57,34.19,52.07,55,220,201.0
2017,7,4,Tondiarpet,10.16,30.09,53.87,55,171,220.0
2017,8,4,Tondiarpet,16.07,27.81,52.26,55,161,171.0
2017,9,4,Tondiarpet,210.61,26.85,29.46,55,255,161.0
2017,10,4,Tondiarpet,117.35,29.79,47.69,55,210,255.0
2017,11,4,Tondiarpet,168.6,28.17,35.36,55,231,210.0
2017,12,4,Tondiarpet,138.36,28.83,36.16,55,240,231.0
2018,1,4,Tondiarpet,41.95,24.09,57.04,55,158,240.0
2018,2,4,Tondiarpet,14.37,29.25,59.69,55,128,158.0
2018,3,4,Tondiarpet,37.14,29.9,55.21,55,110,128.0
2018,4,4,Tondiarpet,3.53,35.16,44.63,55,197,110.0
2018,5,4,Tondiarpet,19.45,34.52,49.96,55,209,197.0
2018,6,4,Tondiarpet,19.86,39.7,41.02,55,278,209.0
2018,7,4,Tondiarpet,34.86,29.19,52.75,55,185,278.0
2018,8,4,Tondiarpet,24.23,26.42,55.63,55,164,185.0
2018,9,4,Tondiarpet,165.46,29.37,35.95,55,212,164.0
2018,10,4,Tondiarpet,179.65,28.06,38.82,55,223,212.0
2018,11,4,Tondiarpet,297.6,29.66,28.45,55,280,223.0
